Strategic Site,Site No.,Address,Zoning,Owner,Current Use,Lot Area (sq ft),,Sub-Area ,Racial Makeup,HVI,Poverty Rate,> 65 Years,Tree Canopy Cover,Impervious Surface,Need for Environmental Assessment??,Interventions ,2025 Summer,2030 Summer,2035 Summer,5 Year Increase,10 Year Increase
"M1-1:  Light Manufacturing District for businesses like workshops, offices, and storage",R7-1: medium-density residential district allowing multi-family buildings,,,,,,,,,,,,,,,,,,,,
1,22,HOME STREET,M1-1,ACE 1028 REALTY LLC,Primarily parking,"4,732",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,Phase I,"Green roofs, green walls, reflective roofs",,,,,
1,20,1051 HOME STREET,M1-1,NYCEDC,EDC site; exisitng plans for development,"23,776",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,Phase I,"Green roofs, green walls, reflective roofs",,,,,
1,20,1040 HOME STREET,R7-1,NYCEDC,EDC site; exisitng plans for development,"5,060",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,Phase I,"Green roofs, green walls, reflective roofs",,,,,
1,21,1061 HOME STREET,M1-1,ANTHONY AVE.,Tropicana - Latin Club,"10,467",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,"Gasoline Spills, Phase II","Green roofs, green walls, reflective roofs",,,,,
1,20,1174 LONGFELLOW AVENUE,R7-1,NYCEDC,EDC site; exisitng plans for development,"6,485",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,,"Green roofs, green walls, reflective roofs",,,,,
2.1,17,1185 BRONX RIVER AVENUE,M1-1,BRONX RIVER PROPERTIES,Parking,"37,648",,B,"67% Hispanic
33% Black",4,42.00%,13.00%,10.00%,61.00%,"Gasoline Spills, Phase II",,,,,,
3,2,900 BRONX RIVER AVENUE,M1-1,BRONX RIVER AVENUE LLC,Warehousing and parking,"47,447",,C, 64% Hispanic    16% Black     10% Other     7% Asian      3% White,4,32.00%,20.00%,15.00%,61.00%,Phase II,,,,,,
3,2,900 CLOSE AVENUE,M1-1,BRONX RIVER AVENUE LLC,Warehousing and parking,"52,181",,C,62% Black     36% Hispanic   1% White,4,3.00%,17.00%,15.00%,61.00%,Phase II,,,,,,
,3,950 CLOSE AVENUE,M1-1,NEW 970 COLGATE AVE,Warehousing and parking,"28,370",,C,62% Black     36% Hispanic   1% White,4,3.00%,17.00%,15.00%,61.00%,Phase II,,,,,,
,4,968 CLOSE AVENUE,M1-1,RENATO CORPORATION,Primarily parking and some auto retail,"1,396",,C,62% Black     36% Hispanic   1% White,4,3.00%,17.00%,15.00%,61.00%,,,,,,,
,4,1458 BRUCKNER BOULEVAR,M1-1,RENATO CORPORATION,Primarily parking and some auto retail,"13,570",,C,62% Black     36% Hispanic   1% White,4,3.00%,17.00%,15.00%,61.00%,,,,,,,
,4,CLOSE AVENUE,M1-1,RENATO CORPORATION,Primarily parking and some auto retail,"19,094",,C,62% Black     36% Hispanic   1% White,4,3.00%,17.00%,15.00%,61.00%,,,,,,,
,5,BRUCKNER BOULEVAR,M1-1,CPA CLOSE AVENUE LLC,Primarily warehousing and parking; some auto retail,"3,402",,C,51% Hispanic 29% Black      16% White    4% Other      1% Asian,4,25.00%,3.00%,9.00%,79.00%,,,,,,,
,5,973 CLOSE AVENUE,M1-1,CPA CLOSE AVENUE LLC,Primarily warehousing and parking; some auto retail,"10,269",,C,62% Black     36% Hispanic   1% White,4,3.00%,17.00%,15.00%,61.00%,,,,,,,
,5,945 CLOSE AVENUE,M1-1,CPA CLOSE AVENUE LLC,Primarily warehousing and parking; some auto retail,"17,125",,C,62% Black     36% Hispanic   1% White,4,3.00%,17.00%,15.00%,61.00%,,,,,,,
,5,960 CLOSE AVENUE,M1-1,CPA CLOSE AVENUE LLC,Primarily warehousing and parking; some auto retail,"26,759",,C,62% Black     36% Hispanic   1% White,4,3.00%,17.00%,15.00%,61.00%,,,,,,,
